country,value
ABW,0
AFG,60
AGO,2
AIA,0
ALA,0
ALB,4
AND,0
ARE,0
ARG,0
ARM,1
ASM,0
ATA,0
ATF,0
ATG,0
AUS,0
AUT,1
AZE,0
BDI,4
BEL,0
BEN,0
BES,0
BFA,1
BGD,24
BGR,4
BHR,0
BHS,1
BIH,8
BLM,0
BLR,0
BLZ,0
BMU,0
BOL,30
BRA,30
BRB,0
BRN,0
BTN,0
BVT,0
BWA,0
CAF,4
CAN,2
CCK,0
CHE,1
CHL,83
CHN,2
CIV,2
CMR,1
COD,11
COG,0
COK,0
COL,192
COM,0
CPV,0
CRI,8
CUB,0
CUW,0
CXR,0
CYM,0
CYP,9
CZE,0
DEU,16
DJI,0
DMA,0
DNK,1
DOM,2
DZA,70
ECU,18
EGY,14
ERI,0
ESH,0
ESP,74
EST,2 
ETH,3
FIN,1
FJI,0
FLK,0
FRA,55
FRO,0
FSM,0
GAB,1
GBR,17 
GEO,5
GGY,0
GHA,3
GIB,0
GIN,2
GLP,3
GMB,1
GNB,0
GNQ,0
GRC,31
GRD,0
GRL,0
GTM,72
GUF,0
GUM,0
GUY,4
HKG,5
HMD,0
HND,12
HRV,0
HTI,10
HUN,0
IDN,14
IMN,0
IND,68
IOT,0
IRL,0
IRN,18
IRQ,150
ISL,0
ISR,10
ITA,74
JAM,2
JEY,0
JOR,0
JPN,11
KAZ,3
KEN,2
KGZ,2
KHM,17
KIR,0
KNA,0
KOR,0
KWT,3
LAO,0
LBN,62
LBR,0
LBY,62
LCA,0
LIE,0
LKA,43
LSO,0
LTU,1
LUX,0
LVA,0
MAC,0
MAF,0
MAR,0
MCO,0
MDA,1
MDG,2
MDV,4
MEX,40
MHL,0
MKD,4 
MLI,4
MLT,0
MMR,3
MNE,3
MNG,0
MNP,0
MOZ,3
MRT,0
MSR,0
MTQ,1
MUS,0
MWI,1
MYS,1
MYT,0
NAM,4
NCL,1
NER,2
NFK,0
NGA,23
NIC,27
NIU,0
NLD,1
NOR,0
NPL,16
NRU,0
NZL,0
OMN,0
PAK,149
PAN,4
PCN,0
PER,153
PHL,88
PLW,0
PNG,1
POL,3
PRI,0
PRK,0
PRT,3
PRY,2
PSE,20
PYF,0
QAT,0
REU,0
ROU,0
RUS,30
RWA,0
SAU,1
SDN,5 
SEN,0
SGP,0
SGS,0
SHN,0
SJM,0
SLB,0
SLE,2 
SLV,128
SMR,0
SOM,88
SPM,0
SRB,0
SSD,1
STP,0
SUR,1
SVK,2 
SVN,0
SWE,1
SWZ,0
SXM,0
SYC,0
SYR,59
TCA,0
TCD,0
TGO,0
THA,23
TJK,9
TKL,0
TKM,0
TLS,0
TON,0
TTO,1
TUN,0
TUR,59
TUV,0
TWN,0
TZA,2
UGA,1
UKR,41
UMI,0
URY,7 
USA,56 
UZB,0
VAT,0
VCT,0
VEN,6 
VGB,0
VIR,0
VNM,0
VUT,0
WLF,0
WSM,0
YEM,57
ZAF,10 
ZMB,1 
ZWE,6
