country,value
ABW,0
AFG,142
AGO,7
AIA,0
ALA,0
ALB,1
AND,0
ARE,0
ARG,4
ARM,0
ASM,0
ATA,0
ATF,0
ATG,0
AUS,0
AUT,0
AZE,0
BDI,17 
BEL,6
BEN,0
BES,0
BFA,0
BGD,5
BGR,0
BHR,0
BHS,0
BIH,4
BLM,0
BLR,0
BLZ,0
BMU,0
BOL,2
BRA,8 
BRB,0
BRN,0
BTN,0
BVT,0
BWA,0
CAF,8 
CAN,1
CCK,0
CHE,0
CHL,4
CHN,0
CIV,0
CMR,0
COD,15
COG,1
COK,0
COL,25
COM,0
CPV,0
CRI,0
CUB,0
CUW,0
CXR,0
CYM,0
CYP,0
CZE,0
DEU,4
DJI,0
DMA,0
DNK,0
DOM,0
DZA,1
ECU,2
EGY,1
ERI,0
ESH,0
ESP,4
EST,0
ETH,6
FIN,0
FJI,0
FLK,0
FRA,10
FRO,0
FSM,0
GAB,0
GBR,9
GEO,5
GGY,0
GHA,0
GIB,0
GIN,0
GLP,0
GMB,0
GNB,0
GNQ,0
GRC,7
GRD,0
GRL,0
GTM,7
GUF,0
GUM,0
GUY,0
HKG,0
HMD,0
HND,2
HRV,0
HTI,0
HUN,0
IDN,10
IMN,0
IND,18
IOT,0
IRL,0
IRN,4
IRQ,23
ISL,0
ISR,0
ITA,2
JAM,0
JEY,0
JOR,0
JPN,2
KAZ,0
KEN,14
KGZ,1
KHM,3 
KIR,0
KNA,0
KOR,0
KWT,0
LAO,0
LBN,14
LBR,3
LBY,16
LCA,0
LIE,0
LKA,24
LSO,0
LTU,0
LUX,0
LVA,0
MAC,0
MAF,0
MAR,0
MCO,0
MDA,0
MDG,0
MDV,0
MEX,5
MHL,0
MKD,0
MLI,9 
MLT,0
MMR,2
MNE,0
MNG,0
MNP,0
MOZ,3
MRT,1
MSR,0
MTQ,0
MUS,0
MWI,0
MYS,0
MYT,0
NAM,1
NCL,0
NER,3
NFK,0
NGA,3
NIC,5
NIU,0
NLD,2
NOR,0
NPL,6
NRU,0
NZL,0
OMN,0
PAK,79
PAN,1
PCN,0
PER,13
PHL,20
PLW,0
PNG,1
POL,0
PRI,0
PRK,0
PRT,0
PRY,0
PSE,4
PYF,0
QAT,0
REU,0
ROU,0
RUS,20
RWA,5
SAU,0
SDN,21
SEN,0
SGP,0
SGS,0
SHN,0
SJM,0
SLB,0
SLE,3
SLV,11
SMR,0
SOM,90
SPM,0
SRB,0
SSD,5
STP,0
SUR,0
SVK,0
SVN,0
SWE,0
SWZ,0
SXM,0
SYC,0
SYR,19
TCA,0
TCD,4
TGO,1
THA,2
TJK,4
TKL,0
TKM,0
TLS,0
TON,0
TTO,0
TUN,0
TUR,8
TUV,0
TWN,0
TZA,0
UGA,6
UKR,7
UMI,0
URY,0
USA,28
UZB,0
VAT,0
VCT,0
VEN,0
VGB,0
VIR,0
VNM,0
VUT,0
WLF,0
WSM,0
YEM,24
ZAF,2
ZMB,1
ZWE,3
