country,value
ABW,0 
AFG,165 
AGO,6 
AIA,0 
ALA,0 
ALB,1 
AND,0 
ARE,2 
ARG,20 
ARM,0 
ASM,0 
ATA,0 
ATF,0 
ATG,0 
AUS,9
AUT,4 
AZE,4 
BDI,11
BEL,9 
BEN,0 
BES,0 
BFA,0 
BGD,53 
BGR,2 
BHR,6 
BHS,0 
BIH,22
BLM,0 
BLR,1 
BLZ,1 
BMU,0 
BOL,10 
BRA,9 
BRB,0 
BRN,0 
BTN,0 
BVT,0 
BWA,0 
CAF,10 
CAN,4 
CCK,0 
CHE,0 
CHL,136 
CHN,1 
CIV,3 
CMR,9 
COD,15 
COG,0 
COK,0 
COL,109 
COM,0 
CPV,0 
CRI,0 
CUB,0 
CUW,0 
CXR,0 
CYM,0 
CYP,4 
CZE,1 
DEU,39 
DJI,0 
DMA,0 
DNK,4 
DOM,2 
DZA,32
ECU,6 
EGY,51 
ERI,0 
ESH,0 
ESP,15 
EST,0 
ETH,3 
FIN,0 
FJI,4 
FLK,0 
FRA,59 
FRO,0 
FSM,0 
GAB,0 
GBR,63 
GEO,0 
GGY,0 
GHA,1 
GIB,0 
GIN,1 
GLP,0 
GMB,0 
GNB,0 
GNQ,0 
GRC,9 
GRD,0 
GRL,0 
GTM,27 
GUF,0 
GUM,0 
GUY,0 
HKG,0 
HMD,0 
HND,4 
HRV,6 
HTI,3 
HUN,2 
IDN,106 
IMN,0 
IND,187 
IOT,0 
IRL,2 
IRN,47 
IRQ,611
ISL,1 
ISR,37 
ITA,27 
JAM,0 
JEY,0 
JOR,0 
JPN,31 
KAZ,0 
KEN,40 
KGZ,0 
KHM,2
KIR,0 
KNA,0 
KOR,0 
KWT,3 
LAO,0 
LBN,63 
LBR,4 
LBY,57 
LCA,1 
LIE,0 
LKA,62 
LSO,2 
LTU,0 
LUX,0 
LVA,3 
MAC,0 
MAF,0 
MAR,0 
MCO,0 
MDA,0 
MDG,0 
MDV,0 
MEX,4 
MHL,0 
MKD,3 
MLI,6 
MLT,2 
MMR,43 
MNE,1 
MNG,0 
MNP,0 
MOZ,9 
MRT,0 
MSR,0 
MTQ,0 
MUS,0 
MWI,0 
MYS,3 
MYT,0 
NAM,0 
NCL,0 
NER,0 
NFK,0 
NGA,190 
NIC,16 
NIU,0 
NLD,6 
NOR,1 
NPL,15 
NRU,0 
NZL,0 
OMN,0 
PAK,495 
PAN,0 
PCN,0 
PER,45
PHL,105 
PLW,0 
PNG,1 
POL,1 
PRI,0 
PRK,0 
PRT,1 
PRY,0 
PSE,47 
PYF,0 
QAT,0 
REU,0 
ROU,0 
RUS,94 
RWA,11 
SAU,14
SDN,11 
SEN,2 
SGP,0 
SGS,0 
SHN,0 
SJM,0 
SLB,0 
SLE,3 
SLV,29
SMR,0 
SOM,40 
SPM,0 
SRB,0 
SSD,2 
STP,0 
SUR,0 
SVK,0 
SVN,0 
SWE,3 
SWZ,0 
SXM,0 
SYC,0 
SYR,69 
TCA,0 
TCD,0 
TGO,0 
THA,53 
TJK,3 
TKL,0 
TKM,0 
TLS,0 
TON,0 
TTO,1 
TUN,8 
TUR,31 
TUV,0 
TWN,0 
TZA,16 
UGA,26 
UKR,14 
UMI,0 
URY,0 
USA,109 
UZB,0 
VAT,1 
VCT,0 
VEN,6 
VGB,0 
VIR,0 
VNM,0
VUT,0 
WLF,0 
WSM,0 
YEM,63 
ZAF,18 
ZMB,0 
ZWE,16 
