country,value
ABW,0
AFG,66 
AGO,0
AIA,0
ALA,0
ALB,0
AND,0
ARE,0
ARG,3 
ARM,0
ASM,0
ATA,0
ATF,0
ATG,0
AUS,0
AUT,0
AZE,0
BDI,0
BEL,1 
BEN,0
BES,0
BFA,0
BGD,1 
BGR,0
BHR,0
BHS,0
BIH,1 
BLM,0
BLR,0
BLZ,0
BMU,0
BOL,6 
BRA,1 
BRB,0
BRN,0
BTN,0
BVT,0
BWA,0
CAF,0
CAN,0
CCK,0
CHE,0
CHL,19 
CHN,0
CIV,0
CMR,0
COD,2
COG,0
COK,0
COL,51 
COM,0
CPV,0
CRI,0
CUB,0
CUW,0
CXR,0
CYM,0
CYP,0
CZE,0
DEU,4 
DJI,0
DMA,0
DNK,0
DOM,0
DZA,20 
ECU,0
EGY,9 
ERI,0
ESH,0
ESP,38
EST,0
ETH,0
FIN,0
FJI,0
FLK,0
FRA,21 
FRO,0
FSM,0
GAB,0
GBR,8 
GEO,3 
GGY,0
GHA,0
GIB,0
GIN,0
GLP,0
GMB,0
GNB,0
GNQ,0
GRC, 3 
GRD,0
GRL,0
GTM,17 
GUF,0
GUM,0
GUY,2 
HKG,1 
HMD,0
HND,1 
HRV,0
HTI,1 
HUN,0
IDN,0
IMN,0
IND,123 
IOT,0
IRL,0
IRN,2 
IRQ,20 
ISL,0
ISR,1 
ITA,5 
JAM,0
JEY,0
JOR,0
JPN,3 
KAZ,0
KEN,1 
KGZ,1 
KHM,1 
KIR,0
KNA,0
KOR,0
KWT,0
LAO,0
LBN,3 
LBR,0
LBY,1 
LCA,0
LIE,0
LKA,15
LSO,0
LTU,0
LUX,0
LVA,0
MAC,0
MAF,0
MAR,0
MCO,0
MDA,0
MDG,1 
MDV,0
MEX,0
MHL,0
MKD,0
MLI,0
MLT,0
MMR,2 
MNE,0
MNG,0
MNP,0
MOZ,0
MRT,0
MSR,0
MTQ,2 
MUS,0
MWI,0
MYS,0
MYT,0
NAM,1 
NCL,0
NER,1 
NFK,0
NGA,36 
NIC,11 
NIU,0
NLD,1 
NOR,0
NPL,8 
NRU,0
NZL,0
OMN,0
PAK,45 
PAN,0
PCN,0
PER,59 
PHL,80 
PLW,0
PNG,1 
POL,0
PRI,0
PRK,0
PRT,0
PRY,0
PSE,0
PYF,0
QAT,0
REU,0
ROU,0
RUS,12
RWA,0
SAU,0
SDN,0
SEN,0
SGP,0
SGS,0
SHN,0
SJM,0
SLB,0
SLE,0
SLV,118 
SMR,0
SOM,6
SPM,0
SRB,0
SSD,0
STP,0
SUR,1
SVK,0
SVN,0
SWE,0
SWZ,0
SXM,0
SYC,0
SYR,0
TCA,0
TCD,0
TGO,0
THA,61
TJK,1
TKL,0
TKM,0
TLS,0
TON,0
TTO,0
TUN,0
TUR,11
TUV,0
TWN,1
TZA,0
UGA,1
UKR,2
UMI,0
URY,1 
USA,10 
UZB,0
VAT,0
VCT,0
VEN,1
VGB,0
VIR,0
VNM,0
VUT,0
WLF,0
WSM,0
YEM,2 
ZAF,5
ZMB,0 
ZWE,0 
