country,value
ABW,0
AFG,276
AGO,1
AIA,0
ALA,0
ALB,2
AND,0
ARE,1
ARG,16
ARM,0
ASM,0
ATA,0
ATF,0
ATG,0
AUS,0
AUT,1
AZE,0
BDI,48
BEL,3
BEN,0
BES,0
BFA,0
BGD,109
BGR,1
BHR,0
BHS,0
BIH,2
BLM,0
BLR,0
BLZ,0
BMU,0
BOL,10
BRA,1
BRB,0
BRN,0
BTN,0
BVT,0
BWA,0
CAF,0
CAN,2
CCK,0
CHE,0
CHL,50
CHN,3
CIV,0
CMR,1
COD,1
COG,0
COK,0
COL,110
COM,0
CPV,0
CRI,2
CUB,0
CUW,0
CXR,0
CYM,0
CYP,1
CZE,0
DEU,16
DJI,1
DMA,0
DNK,0
DOM,3
DZA,66
ECU,5
EGY,26
ERI,0
ESH,0
ESP,31
EST,1
ETH,4
FIN,1
FJI,0
FLK,1
FRA,25
FRO,0
FSM,0
GAB,0
GBR,28
GEO,3
GGY,0
GHA,1
GIB,0
GIN,1
GLP,0
GMB,0
GNB,0
GNQ,0
GRC,15
GRD,0
GRL,0
GTM,98
GUF,0
GUM,0
GUY,0
HKG,0
HMD,0
HND,8
HRV,2
HTI,5
HUN,1
IDN,19
IMN,0
IND,248
IOT,0
IRL,3
IRN,14
IRQ,244
ISL,0
ISR,35
ITA,44
JAM,0
JEY,0
JOR,3
JPN,8
KAZ,1
KEN,8
KGZ,1
KHM,0
KIR,0
KNA,0
KOR,0
KWT,1
LAO,0
LBN,46
LBR,0
LBY,31
LCA,0
LIE,0
LKA,30
LSO,0
LTU,0
LUX,0
LVA,0
MAC,0
MAF,0
MAR,3
MCO,0
MDA,0
MDG,0
MDV,0
MEX,6
MHL,1
MKD,1
MLI,1
MLT,0
MMR,2
MNE,0
MNG,0
MNP,0
MOZ,3
MRT,0
MSR,0
MTQ,0
MUS,0
MWI,0
MYS,0
MYT,0
NAM,5
NCL,3
NER,0
NFK,0
NGA,114
NIC,14
NIU,0
NLD,1
NOR,0
NPL,42
NRU,0
NZL,0
OMN,0
PAK,896
PAN,3
PCN,0
PER,151
PHL,128
PLW,0
PNG,2
POL,0
PRI,0
PRK,0
PRT,2
PRY,1
PSE,0
PYF,0
QAT,0
REU,0
ROU,0
RUS,25
RWA,2
SAU,3
SDN,0
SEN,3
SGP,0
SGS,0
SHN,0
SJM,0
SLB,0
SLE,0
SLV,72
SMR,0
SOM,20
SPM,0
SRB,0
SSD,7
STP,0
SUR,0
SVK,0
SVN,0
SWE,1
SWZ,0
SXM,0
SYC,0
SYR,0
TCA,0
TCD,0
TGO,4
THA,219
TJK,2
TKL,0
TKM,0
TLS,0
TON,0
TTO,0
TUN,0
TUR,142
TUV,0
TWN,2
TZA,2
UGA,10
UKR,12
UMI,0
URY,5
USA,165
UZB,0
VAT,0
VCT,0
VEN,4
VGB,0
VIR,0
VNM,4
VUT,0
WLF,0
WSM,0
YEM,39
ZAF,27
ZMB,0
ZWE,0
